care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh
any_uf,1,RN,sewer_septic,hypertension,167,ok,-0.05648485913746268,0.4684263825142482,-0.20657644237009162,0.09620397260326176,-0.0648416127244389,0.4051148333832684,19,2000,20260919,2000,ok,-0.2528180414892846,0.17336700676277977,0.6074535580690438,0.5609282308383716
any_uf,1,RN,sewer_septic,hemorrhage,167,ok,0.09960256976894169,0.20031021046800082,-0.053063666137061156,0.24771916330851076,0.022230854372611308,0.77551894904502,19,2000,20260919,2000,ok,-0.14776080670587735,0.3043988751770199,0.3301523019182006,0.8511793343177049
any_uf,1,RN,sewer_septic,W,167,ok,0.03298316362829447,0.6721857191589282,-0.11947889386117391,0.1839254862384037,0.006920767390985393,0.9292684053634336,19,2000,20260919,2000,ok,-0.21881617659660002,0.2919735973368251,0.7663070242398531,0.9507293057556963
any_uf,1,SE,income_pc,hypertension,75,ok,0.26187301213675757,0.02323436938153448,0.037117236665544034,0.46141082117436005,0.47129780440597746,1.9742448442220845e-05,13,2000,20260919,2000,ok,0.1422868275377211,0.4619548479926567,0.0804266632437732,0.0002716147845707994
any_uf,1,SE,income_pc,hemorrhage,75,ok,0.38372628280902416,0.0006777033987922264,0.17171971827424184,0.5617634599978649,0.10983008414277895,0.3482327834299854,13,2000,20260919,2000,ok,-0.22271622775535055,0.6271092740645439,0.006777033987922265,0.5237027737948192
any_uf,1,SE,income_pc,W,75,ok,0.42602751989251275,0.00013850261430826936,0.22037408386048318,0.5954172820039254,0.3584921763869132,0.0015876472114295902,13,2000,20260919,2000,ok,-0.12215568375869787,0.6444425891305439,0.0030317149574484357,0.009525883268577541
any_uf,1,SE,illiteracy_10plus,hypertension,75,ok,-0.15973716837453783,0.17101878682596428,-0.373170017271509,0.06975353851379613,-0.25136044731247675,0.02960473439776505,13,2000,20260919,2000,ok,-0.49964655177697226,0.11921559531922638,0.30783381628673573,0.0807401847211774
any_uf,1,SE,illiteracy_10plus,hemorrhage,75,ok,-0.7581678258992545,3.3713717430299334e-15,-0.8405004195734277,-0.6416113645180298,-0.5984535440456946,1.4234204083719503e-08,13,2000,20260919,2000,ok,-0.8833520551140132,-0.35226565700069257,1.51711728436347e-13,6.405391837673776e-07
any_uf,1,SE,illiteracy_10plus,W,75,ok,-0.7867745262556617,5.924041121409741e-17,-0.8601426010196814,-0.6815080780349495,-0.6991748541378596,3.023420810419155e-12,13,2000,20260919,2000,ok,-0.9004584187724078,-0.3975555870487478,5.3316370092687675e-15,2.7210787293772396e-10
any_uf,1,SE,sewer_septic,hypertension,75,ok,0.08857404920114295,0.44984283388704155,-0.1412268698156474,0.30931770238219625,0.09065498332365371,0.43922450068698465,13,2000,20260919,2000,ok,-0.1767230775634565,0.36775024208388835,0.6040552140396505,0.5813265450268914
any_uf,1,SE,sewer_septic,hemorrhage,75,ok,0.257583456772014,0.025676919073384014,0.03252295617887134,0.45778259158775625,0.08510729095016792,0.4678448889718131,13,2000,20260919,2000,ok,-0.2662859614955072,0.5584067768634059,0.08558973024461339,0.6070791190576584
any_uf,1,SE,sewer_septic,W,75,ok,0.2744641210653424,0.01717389550246332,0.050657902700009555,0.47202233405804445,0.09587482219061165,0.4132190463162808,13,2000,20260919,2000,ok,-0.2628892050415205,0.5754294118525703,0.06720219979224777,0.5634805177040193
any_uf,1000,NE,income_pc,hypertension,842,ok,0.1568067525510772,4.8390229738291995e-06,0.09019996389614442,0.22201703963402647,0.14766978279360837,1.6910253860849113e-05,181,2000,20260919,2000,ok,0.06778047086728026,0.24031868571964685,0.00010887801691115699,0.0005073076158254734
