territory,diagnosis,outcome,cases,care,percent_of_outcome
CE,O141,hypertension,13801,any_uf,75.03398031859946
CE,O149,hypertension,2293,any_uf,12.466699287772522
CE,O140,hypertension,1423,any_uf,7.736638938726689
CE,O150,hypertension,459,any_uf,2.4955145979448705
CE,O151,hypertension,298,any_uf,1.6201815908225956
CE,O152,hypertension,56,any_uf,0.304463654651226
CE,O159,hypertension,47,any_uf,0.25553199586799324
CE,O11,hypertension,16,any_uf,0.086989615614636
MA,O458,W,2312,any_uf,19.69335604770017
MA,O141,W,2111,any_uf,17.981260647359456
MA,O85,W,1160,any_uf,9.880749574105621
MA,O140,W,968,any_uf,8.245315161839864
MA,O061,W,817,any_uf,6.959114139693356
MA,O459,W,754,any_uf,6.4224872231686545
MA,O150,W,610,any_uf,5.195911413969336
MA,O860,W,516,any_uf,4.395229982964225
MA,O031,W,473,any_uf,4.0289608177172065
MA,O149,W,424,any_uf,3.6115843270868826
MA,O450,W,254,any_uf,2.163543441226576
MA,O151,W,233,any_uf,1.9846678023850086
MA,O868,W,190,any_uf,1.6183986371379897
MA,O441,W,182,any_uf,1.5502555366269166
MA,O030,W,127,any_uf,1.081771720613288
MA,O041,W,83,any_uf,0.706984667802385
MA,O035,W,66,any_uf,0.5621805792163543
MA,O060,W,62,any_uf,0.5281090289608177
MA,O159,W,49,any_uf,0.41737649063032367
MA,O152,W,40,any_uf,0.34071550255536626
MA,O721,W,40,any_uf,0.34071550255536626
MA,O036,W,39,any_uf,0.3321976149914821
MA,O11,W,36,any_uf,0.30664395229982966
MA,O051,W,24,any_uf,0.20442930153321975
MA,O900,W,24,any_uf,0.20442930153321975
MA,O066,W,22,any_uf,0.18739352640545145
MA,O081,W,18,any_uf,0.15332197614991483
MA,O055,W,17,any_uf,0.14480408858603067
MA,O080,W,15,any_uf,0.12776831345826234
MA,O711,W,11,any_uf,0.09369676320272573
MA,O710,W,9,any_uf,0.07666098807495741
MA,O065,W,7,any_uf,0.059625212947189095
MA,O411,W,7,any_uf,0.059625212947189095
MA,O050,W,6,any_uf,0.05110732538330494
MA,O083,W,6,any_uf,0.05110732538330494
MA,O468,W,6,any_uf,0.05110732538330494
MA,O040,W,5,any_uf,0.04258943781942078
MA,O046,W,5,any_uf,0.04258943781942078
MA,O722,W,5,any_uf,0.04258943781942078
MA,O720,W,3,any_uf,0.02555366269165247
MA,O045,W,1,any_uf,0.008517887563884156
MA,O056,W,1,any_uf,0.008517887563884156
MA,O460,W,1,any_uf,0.008517887563884156
MA,O469,W,1,any_uf,0.008517887563884156
MA,O458,hemorrhage,2312,any_uf,45.87301587301587
MA,O061,hemorrhage,817,any_uf,16.21031746031746
MA,O459,hemorrhage,754,any_uf,14.96031746031746
MA,O031,hemorrhage,473,any_uf,9.384920634920634
MA,O450,hemorrhage,254,any_uf,5.0396825396825395
MA,O441,hemorrhage,182,any_uf,3.611111111111111
MA,O041,hemorrhage,83,any_uf,1.6468253968253967
MA,O721,hemorrhage,40,any_uf,0.7936507936507936
MA,O036,hemorrhage,39,any_uf,0.7738095238095238
MA,O051,hemorrhage,24,any_uf,0.47619047619047616
MA,O066,hemorrhage,22,any_uf,0.4365079365079365
MA,O081,hemorrhage,18,any_uf,0.35714285714285715
MA,O468,hemorrhage,6,any_uf,0.11904761904761904
MA,O046,hemorrhage,5,any_uf,0.0992063492063492
MA,O722,hemorrhage,5,any_uf,0.0992063492063492
MA,O720,hemorrhage,3,any_uf,0.05952380952380952
MA,O056,hemorrhage,1,any_uf,0.01984126984126984
MA,O460,hemorrhage,1,any_uf,0.01984126984126984
MA,O469,hemorrhage,1,any_uf,0.01984126984126984
MA,O141,hypertension,2111,any_uf,47.21538805636323
MA,O140,hypertension,968,any_uf,21.650637441288303
MA,O150,hypertension,610,any_uf,13.643480205770521
MA,O149,hypertension,424,any_uf,9.483337061060165
MA,O151,hypertension,233,any_uf,5.211362111384478
MA,O159,hypertension,49,any_uf,1.095951688660255
MA,O152,hypertension,40,any_uf,0.8946544397226571
MA,O11,hypertension,36,any_uf,0.8051889957503914
NE,O141,W,41827,any_uf,29.76608145517688
NE,O031,W,14342,any_uf,10.206448949964061
NE,O149,W,13233,any_uf,9.417231833417546
NE,O140,W,8891,any_uf,6.327258235541101
NE,O85,W,8262,any_uf,5.87963193589479
NE,O061,W,7973,any_uf,5.673965798219458
NE,O150,W,7049,any_uf,5.016403475686562
NE,O459,W,6530,any_uf,4.647058404913214
NE,O860,W,5717,any_uf,4.068488958788492
NE,O441,W,3909,any_uf,2.78183021513105
NE,O458,W,3388,any_uf,2.411061849287285
NE,O030,W,3149,any_uf,2.240978088372391
NE,O868,W,2485,any_uf,1.768444124993773
NE,O151,W,1592,any_uf,1.1329428760523488
NE,O450,W,1329,any_uf,0.9457795742924444
NE,O055,W,1223,any_uf,0.8703449355603157
NE,O060,W,1087,any_uf,0.773560870771924
NE,O411,W,886,any_uf,0.6305197161949629
NE,O721,W,809,any_uf,0.5757228559838883
NE,O159,W,803,any_uf,0.5714529707726357
NE,O041,W,728,any_uf,0.5180794056319786
NE,O694,W,671,any_uf,0.47751549612507915
NE,O035,W,556,any_uf,0.39567602957607156
NE,O900,W,533,any_uf,0.37930813626627
NE,O722,W,477,any_uf,0.3394558742945794
NE,O080,W,376,any_uf,0.26757947323849446
NE,O152,W,347,any_uf,0.24694169471744035
NE,O036,W,306,any_uf,0.21776414577388112
NE,O11,W,272,any_uf,0.1935681295767832
NE,O081,W,260,any_uf,0.18502835915427807
NE,O051,W,239,any_uf,0.17008376091489408
NE,O711,W,223,any_uf,0.15869740035155389
NE,O040,W,181,any_uf,0.12880820387278588
NE,O720,W,164,any_uf,0.11671019577423694
NE,O050,W,158,any_uf,0.11244031056298437
NE,O710,W,102,any_uf,0.07258804859129371
NE,O066,W,91,any_uf,0.06475992570399733
NE,O469,W,73,any_uf,0.05195027007023961
NE,O468,W,67,any_uf,0.04768038485898704
NE,O065,W,47,any_uf,0.03344743415481181
NE,O056,W,35,any_uf,0.024907663732306663
NE,O083,W,32,any_uf,0.022772721126680377
NE,O670,W,29,any_uf,0.02063777852105409
NE,O046,W,26,any_uf,0.018502835915427805
NE,O045,W,25,any_uf,0.017791188380219047
NE,O460,W,9,any_uf,0.006404827816878856
NE,O753,W,3,any_uf,0.0021349426056262856
NE,O883,W,2,any_uf,0.0014232950704175236
NE,O075,W,1,any_uf,0.0007116475352087618
NE,O076,W,1,any_uf,0.0007116475352087618
NE,O082,W,1,any_uf,0.0007116475352087618
NE,O031,hemorrhage,14342,any_uf,34.59571593979159
NE,O061,hemorrhage,7973,any_uf,19.232439212659205
NE,O459,hemorrhage,6530,any_uf,15.75164029332304
NE,O441,hemorrhage,3909,any_uf,9.42927441142416
NE,O458,hemorrhage,3388,any_uf,8.172520262446932
NE,O450,hemorrhage,1329,any_uf,3.2058085681204167
NE,O721,hemorrhage,809,any_uf,1.951466615206484
NE,O041,hemorrhage,728,any_uf,1.7560787340795059
NE,O694,hemorrhage,671,any_uf,1.6185835584716326
NE,O722,hemorrhage,477,any_uf,1.1506175221922037
NE,O036,hemorrhage,306,any_uf,0.7381319953685835
NE,O081,hemorrhage,260,any_uf,0.6271709764569664
NE,O051,hemorrhage,239,any_uf,0.5765148591277499
NE,O720,hemorrhage,164,any_uf,0.3956001543805481
NE,O066,hemorrhage,91,any_uf,0.21950984175993823
NE,O469,hemorrhage,73,any_uf,0.1760903126206098
NE,O468,hemorrhage,67,any_uf,0.16161713624083365
NE,O056,hemorrhage,35,any_uf,0.08442686221536086
NE,O670,hemorrhage,29,any_uf,0.06995368583558471
NE,O046,hemorrhage,26,any_uf,0.06271709764569665
NE,O460,hemorrhage,9,any_uf,0.02170976456966422
NE,O076,hemorrhage,1,any_uf,0.002412196063296025
NE,O141,hypertension,41827,any_uf,56.512281460264276
NE,O149,hypertension,13233,any_uf,17.879049909476585
NE,O140,hypertension,8891,any_uf,12.012592212284163
NE,O150,hypertension,7049,any_uf,9.52387386170184
NE,O151,hypertension,1592,any_uf,2.150944415921312
NE,O159,hypertension,803,any_uf,1.0849298781311645
NE,O152,hypertension,347,any_uf,0.468830221309482
NE,O11,hypertension,272,any_uf,0.367498040911179
PB,O150,W,2453,any_uf,25.704705019385937
PB,O441,W,2215,any_uf,23.21073037828775
PB,O141,W,1674,any_uf,17.541653568060358
PB,O031,W,875,any_uf,9.16902441580216
PB,O85,W,432,any_uf,4.526878340144608
PB,O450,W,314,any_uf,3.290369904642146
PB,O140,W,261,any_uf,2.734988997170701
PB,O081,W,169,any_uf,1.7709315728806454
PB,O860,W,164,any_uf,1.7185371476474902
PB,O149,W,162,any_uf,1.6975793775542283
PB,O900,W,147,any_uf,1.5403961018547627
PB,O459,W,146,any_uf,1.5299172168081316
PB,O060,W,108,any_uf,1.131719585036152
PB,O151,W,102,any_uf,1.0688462747563658
PB,O458,W,70,any_uf,0.7335219532641727
PB,O868,W,59,any_uf,0.6182542177512312
PB,O030,W,45,any_uf,0.4715498270983967
PB,O411,W,35,any_uf,0.36676097663208634
PB,O722,W,16,any_uf,0.1676621607460966
PB,O721,W,15,any_uf,0.15718327569946558
PB,O11,W,13,any_uf,0.1362255056062035
PB,O159,W,13,any_uf,0.1362255056062035
PB,O080,W,11,any_uf,0.11526773551294142
PB,O694,W,9,any_uf,0.09430996541967934
PB,O035,W,5,any_uf,0.05239442523315519
PB,O036,W,5,any_uf,0.05239442523315519
PB,O711,W,5,any_uf,0.05239442523315519
PB,O152,W,3,any_uf,0.03143665513989312
PB,O041,W,2,any_uf,0.020957770093262076
PB,O051,W,2,any_uf,0.020957770093262076
PB,O083,W,2,any_uf,0.020957770093262076
PB,O468,W,2,any_uf,0.020957770093262076
PB,O710,W,2,any_uf,0.020957770093262076
PB,O720,W,2,any_uf,0.020957770093262076
PB,O040,W,1,any_uf,0.010478885046631038
PB,O045,W,1,any_uf,0.010478885046631038
PB,O050,W,1,any_uf,0.010478885046631038
PB,O056,W,1,any_uf,0.010478885046631038
PB,O061,W,1,any_uf,0.010478885046631038
PB,O441,hemorrhage,2215,any_uf,57.62226847034339
PB,O031,hemorrhage,875,any_uf,22.762747138397504
PB,O450,hemorrhage,314,any_uf,8.168574401664932
PB,O081,hemorrhage,169,any_uf,4.396462018730489
PB,O459,hemorrhage,146,any_uf,3.7981269510926117
PB,O458,hemorrhage,70,any_uf,1.8210197710718001
PB,O722,hemorrhage,16,any_uf,0.4162330905306972
PB,O721,hemorrhage,15,any_uf,0.39021852237252863
PB,O694,hemorrhage,9,any_uf,0.23413111342351717
PB,O036,hemorrhage,5,any_uf,0.13007284079084286
PB,O041,hemorrhage,2,any_uf,0.05202913631633715
PB,O051,hemorrhage,2,any_uf,0.05202913631633715
PB,O468,hemorrhage,2,any_uf,0.05202913631633715
PB,O720,hemorrhage,2,any_uf,0.05202913631633715
PB,O056,hemorrhage,1,any_uf,0.026014568158168574
PB,O061,hemorrhage,1,any_uf,0.026014568158168574
PB,O150,hypertension,2453,any_uf,52.40333262123478
PB,O141,hypertension,1674,any_uf,35.76158940397351
PB,O140,hypertension,261,any_uf,5.575731681264687
PB,O149,hypertension,162,any_uf,3.4607989745780814
PB,O151,hypertension,102,any_uf,2.1790215765861993
PB,O11,hypertension,13,any_uf,0.27771843623157444
PB,O159,hypertension,13,any_uf,0.27771843623157444
PB,O152,hypertension,3,any_uf,0.0640888698995941
PE,O141,W,6104,any_uf,38.13093453273363
PE,O85,W,1668,any_uf,10.419790104947527
PE,O150,W,1427,any_uf,8.914292853573214
PE,O868,W,1312,any_uf,8.195902048975512
PE,O860,W,908,any_uf,5.6721639180409795
PE,O149,W,773,any_uf,4.828835582208896
PE,O411,W,593,any_uf,3.7043978010994505
PE,O140,W,501,any_uf,3.129685157421289
PE,O061,W,408,any_uf,2.548725637181409
PE,O031,W,365,any_uf,2.2801099450274864
PE,O080,W,291,any_uf,1.81784107946027
PE,O459,W,287,any_uf,1.7928535732133932
PE,O035,W,148,any_uf,0.9245377311344328
PE,O441,W,139,any_uf,0.8683158420789605
PE,O030,W,135,any_uf,0.843328335832084
PE,O151,W,119,any_uf,0.7433783108445777
PE,O721,W,103,any_uf,0.6434282858570715
PE,O722,W,96,any_uf,0.5997001499250375
PE,O458,W,89,any_uf,0.5559720139930034
PE,O711,W,89,any_uf,0.5559720139930034
PE,O450,W,67,any_uf,0.4185407296351824
PE,O041,W,49,any_uf,0.3060969515242379
PE,O060,W,38,any_uf,0.23738130934532733
PE,O152,W,33,any_uf,0.20614692653673164
PE,O050,W,32,any_uf,0.19990004997501248
PE,O11,W,32,any_uf,0.19990004997501248
PE,O159,W,32,any_uf,0.19990004997501248
PE,O900,W,28,any_uf,0.17491254372813594
PE,O469,W,22,any_uf,0.1374312843578211
PE,O051,W,19,any_uf,0.11869065467266367
PE,O036,W,17,any_uf,0.10619690154922538
PE,O710,W,13,any_uf,0.08120939530234883
PE,O720,W,12,any_uf,0.07496251874062969
PE,O055,W,9,any_uf,0.05622188905547226
PE,O081,W,9,any_uf,0.05622188905547226
PE,O083,W,9,any_uf,0.05622188905547226
PE,O065,W,5,any_uf,0.031234382808595702
PE,O040,W,4,any_uf,0.02498750624687656
PE,O056,W,4,any_uf,0.02498750624687656
PE,O066,W,4,any_uf,0.02498750624687656
PE,O468,W,4,any_uf,0.02498750624687656
PE,O670,W,4,any_uf,0.02498750624687656
PE,O694,W,3,any_uf,0.018740629685157422
PE,O045,W,2,any_uf,0.01249375312343828
PE,O046,W,1,any_uf,0.00624687656171914
