territory,year,admissions,W,hemorrhage,diagnosis,cases,per_1000,percent_of_all_markers,percent_of_hemorrhage
SE,2019,28532,1851,807,O061,12,0.42058040095331556,0.6482982171799028,1.486988847583643
SE,2020,30728,1891,792,O031,597,19.428534235876075,31.57059756742464,75.37878787878788
SE,2020,30728,1891,792,O061,12,0.39052330122363965,0.6345848757271285,1.5151515151515151
SE,2021,28064,1580,714,O031,525,18.707240592930443,33.22784810126582,73.52941176470588
SE,2021,28064,1580,714,O061,15,0.5344925883694412,0.9493670886075949,2.100840336134454
SE,2022,29405,1620,531,O031,254,8.637986736949498,15.679012345679013,47.83427495291902
SE,2022,29405,1620,531,O061,46,1.5643598027546335,2.8395061728395063,8.662900188323917
SE,2023,26521,1361,300,O031,93,3.5066551035028843,6.83321087435709,31.0
SE,2023,26521,1361,300,O061,15,0.5655895328230459,1.1021307861866274,5.0
SE,2024,24411,1193,338,O031,75,3.072385400024579,6.286672254819782,22.189349112426036
SE,2024,24411,1193,338,O061,76,3.1133505386915736,6.3704945515507125,22.485207100591715
SE,2025,26344,1178,300,O031,59,2.239599149711509,5.00848896434635,19.666666666666668
SE,2025,26344,1178,300,O061,62,2.353477072578196,5.2631578947368425,20.666666666666668
NE,2008,791453,27143,8842,O031,2725,3.4430345200536228,10.039420845153446,30.818819271657997
NE,2008,791453,27143,8842,O061,1920,2.425917900368057,7.073646980805364,21.714544220764534
NE,2009,804462,27462,8760,O031,2846,3.537768098431001,10.363411259194523,32.48858447488585
NE,2009,804462,27462,8760,O061,1597,1.9851776715370024,5.815308426188915,18.230593607305938
NE,2010,796340,29578,9252,O031,3232,4.058567948363764,10.927040367840963,34.93298746217034
NE,2010,796340,29578,9252,O061,1797,2.256573825250521,6.0754614916491985,19.422827496757456
NE,2011,776057,28333,7886,O031,2785,3.5886539261935657,9.829527406204779,35.3157494293685
NE,2011,776057,28333,7886,O061,1785,2.3000887821384253,6.300074118519041,22.635049454729902
NE,2012,745188,28003,6716,O031,2754,3.6957116861785213,9.834660572081562,41.00655151876117
NE,2012,745188,28003,6716,O061,874,1.172858392781419,3.121094168481948,13.013698630136986
NE,2013,730375,28329,6023,O031,2542,3.480403902105083,8.973137068022169,42.20488128839449
NE,2013,730375,28329,6023,O061,850,1.1637857265103542,3.000458893713156,14.112568487464719
NE,2014,736862,28948,5766,O031,2296,3.1159158702715026,7.931463313527705,39.8196323274367
NE,2014,736862,28948,5766,O061,655,0.8889045710051543,2.262677905209341,11.359694762400277
NE,2015,758981,29850,5425,O031,1911,2.5178495904377054,6.402010050251256,35.225806451612904
NE,2015,758981,29850,5425,O061,584,0.7694527267481004,1.9564489112227805,10.764976958525345
NE,2016,721398,31044,5420,O031,2077,2.879131907767973,6.690503801056565,38.321033210332104
NE,2016,721398,31044,5420,O061,536,0.7430017826497994,1.7265816260791136,9.88929889298893
NE,2017,747142,33761,5763,O031,2088,2.7946494776093433,6.1846509285862385,36.23112961998959
NE,2017,747142,33761,5763,O061,398,0.5326965958278346,1.1788750333224727,6.906125281971195
NE,2018,777559,35884,5588,O031,1669,2.146460911647862,4.651097982387694,29.867573371510378
NE,2018,777559,35884,5588,O061,509,0.654612704630774,1.4184594805484338,9.108804581245526
NE,2019,768807,37932,5731,O031,1763,2.2931633036639885,4.647790783507329,30.76251963008201
NE,2019,768807,37932,5731,O061,590,0.767422773205759,1.5554149530739219,10.294887454196475
NE,2020,716308,34950,5479,O031,1652,2.3062704869972137,4.726752503576538,30.151487497718563
NE,2020,716308,34950,5479,O061,422,0.5891320493419032,1.2074391988555078,7.702135426172659
NE,2021,728372,37050,5372,O031,1658,2.276309358404771,4.475033738191633,30.86373790022338
NE,2021,728372,37050,5372,O061,454,0.6233078701542618,1.2253711201079622,8.451228592702904
NE,2022,694210,38822,5086,O031,1312,1.8899180363290646,3.379527072278605,25.796303578450647
NE,2022,694210,38822,5086,O061,476,0.685671482692557,1.2261089073205915,9.359024773889107
NE,2023,693503,38578,4348,O031,939,1.3539955847343126,2.4340297578930996,21.596136154553818
NE,2023,693503,38578,4348,O061,427,0.6157147121209281,1.1068484628544766,9.820607175712972
NE,2024,675500,37335,4436,O031,992,1.468541820873427,2.657024239989286,22.36248872858431
NE,2024,675500,37335,4436,O061,380,0.5625462620281273,1.0178117048346056,8.566275924256086
NE,2025,682863,40034,3848,O031,819,1.1993620975217576,2.045761103062397,21.283783783783782
NE,2025,682863,40034,3848,O061,189,0.27677586865886716,0.47209871609132237,4.911642411642411
