territory,year,admissions,W,hemorrhage,diagnosis,cases,per_1000,percent_of_all_markers,percent_of_hemorrhage
AL,2020,46638,1477,263,O031,91,1.9511985934216733,6.161137440758294,34.60076045627376
AL,2020,46638,1477,263,O061,5,0.10720871392426777,0.33852403520649965,1.9011406844106464
AL,2021,46462,2077,294,O031,94,2.023158710343937,4.525758305247954,31.972789115646258
AL,2021,46462,2077,294,O061,13,0.27979854504756574,0.6259027443428021,4.421768707482993
AL,2022,42546,2051,324,O031,85,1.9978376345602407,4.144319843978547,26.234567901234566
AL,2022,42546,2051,324,O061,17,0.3995675269120481,0.8288639687957094,5.246913580246914
AL,2023,45533,2454,268,O031,70,1.5373465398721806,2.852485737571312,26.119402985074625
AL,2023,45533,2454,268,O061,31,0.6808248962291086,1.263243683781581,11.567164179104477
AL,2024,43442,2159,275,O031,31,0.71359513834538,1.4358499305233905,11.272727272727273
AL,2024,43442,2159,275,O061,17,0.391326366189402,0.7874015748031497,6.181818181818182
AL,2025,44947,1909,213,O031,29,0.6452043517921107,1.5191199580932426,13.615023474178404
AL,2025,44947,1909,213,O061,6,0.13349055554319533,0.3143006809848088,2.816901408450704
BA,2008,199817,6424,1763,O031,450,2.2520606354814654,7.004981320049813,25.524673851389675
BA,2008,199817,6424,1763,O061,86,0.43039381033645785,1.3387297633872977,4.878048780487805
BA,2009,211554,6869,1645,O031,445,2.1034818533329553,6.478381132624836,27.051671732522795
BA,2009,211554,6869,1645,O061,75,0.35451941348308236,1.0918619886446352,4.5592705167173255
BA,2010,210140,6628,1568,O031,593,2.8219282383173123,8.946891973445986,37.81887755102041
BA,2010,210140,6628,1568,O061,64,0.3045588655182259,0.9656004828002414,4.081632653061225
BA,2011,206021,6335,1474,O031,568,2.7570004999490343,8.966061562746646,38.53459972862958
BA,2011,206021,6335,1474,O061,60,0.2912324471777149,0.9471191791633781,4.07055630936228
BA,2012,196423,5992,1416,O031,664,3.380459518488161,11.081441922563418,46.89265536723164
BA,2012,196423,5992,1416,O061,30,0.1527316047509711,0.5006675567423231,2.1186440677966103
BA,2013,189337,6077,1454,O031,655,3.459440046055446,10.778344577916736,45.04814305364512
BA,2013,189337,6077,1454,O061,62,0.3274584471075384,1.0202402501234162,4.264099037138927
BA,2014,191116,6129,1537,O031,666,3.4847945750224993,10.866372980910425,43.331164606376056
BA,2014,191116,6129,1537,O061,92,0.4813830343874924,1.5010605318975363,5.985686402081978
BA,2015,196441,6044,1383,O031,622,3.166345111254779,10.29119788219722,44.97469269703543
BA,2015,196441,6044,1383,O061,34,0.17307995784993968,0.5625413633355394,2.458423716558207
BA,2016,189168,6294,1401,O031,691,3.6528376892497674,10.978709882427708,49.321912919343326
BA,2016,189168,6294,1401,O061,41,0.21673856043305423,0.6514140451223387,2.9264810849393292
BA,2017,196293,6351,1621,O031,732,3.729119224832266,11.525743977326405,45.15731030228254
BA,2017,196293,6351,1621,O061,34,0.17321045579822,0.5353487639741773,2.097470697100555
BA,2018,193192,5975,1349,O031,415,2.1481220754482586,6.945606694560669,30.763528539659006
BA,2018,193192,5975,1349,O061,43,0.2225765042030726,0.7196652719665272,3.1875463306152705
BA,2019,188985,5920,1275,O031,354,1.8731645368680054,5.97972972972973,27.764705882352942
BA,2019,188985,5920,1275,O061,105,0.5555996507659338,1.7736486486486487,8.235294117647058
BA,2020,176673,5735,1259,O031,446,2.5244378031730936,7.776809067131648,35.42494042891183
BA,2020,176673,5735,1259,O061,43,0.24338750120278707,0.7497820401046208,3.415409054805401
BA,2021,180201,5544,1221,O031,422,2.3418294016126437,7.611832611832612,34.56183456183456
BA,2021,180201,5544,1221,O061,39,0.21642499209216376,0.7034632034632035,3.194103194103194
BA,2022,174011,5849,1224,O031,391,2.24698438604456,6.68490340229099,31.944444444444443
BA,2022,174011,5849,1224,O061,55,0.31607197246151103,0.9403316806291674,4.493464052287582
BA,2023,171566,5616,1130,O031,376,2.1915764195703114,6.695156695156695,33.27433628318584
BA,2023,171566,5616,1130,O061,45,0.2622897310655957,0.8012820512820513,3.982300884955752
BA,2024,164078,5435,1037,O031,359,2.1879837638196467,6.605335786568538,34.619093539054965
BA,2024,164078,5435,1037,O061,32,0.19502919343239192,0.5887764489420423,3.085824493731919
BA,2025,166477,6021,971,O031,311,1.8681259273052735,5.165254941039694,32.02883625128733
BA,2025,166477,6021,971,O061,40,0.2402734311646654,0.6643414715163594,4.11946446961895
CE,2008,120964,4774,574,O031,33,0.27280843887437584,0.6912442396313364,5.7491289198606275
CE,2008,120964,4774,574,O061,50,0.4133461195066301,1.0473397570171763,8.710801393728223
CE,2009,123488,4592,488,O031,21,0.17005700958797615,0.4573170731707317,4.30327868852459
CE,2009,123488,4592,488,O061,3,0.024293858512568024,0.06533101045296168,0.6147540983606558
CE,2010,123740,5123,495,O031,30,0.24244383384515922,0.5855943782939684,6.0606060606060606
CE,2010,123740,5123,495,O061,6,0.04848876676903184,0.11711887565879367,1.2121212121212122
CE,2011,117187,4530,475,O031,42,0.35840152917985785,0.9271523178807947,8.842105263157896
CE,2011,117187,4530,475,O061,17,0.14506728562041865,0.37527593818984545,3.5789473684210527
CE,2012,112696,4650,451,O031,14,0.12422801164193938,0.3010752688172043,3.104212860310421
CE,2012,112696,4650,451,O061,8,0.07098743522396536,0.17204301075268819,1.7738359201773837
CE,2013,113629,5456,599,O031,15,0.1320085541543092,0.2749266862170088,2.5041736227045077
CE,2013,113629,5456,599,O061,3,0.02640171083086184,0.05498533724340176,0.5008347245409015
CE,2014,118002,5760,582,O031,23,0.19491195064490432,0.3993055555555556,3.9518900343642613
CE,2014,118002,5760,582,O061,4,0.03389773054693988,0.06944444444444445,0.6872852233676976
CE,2015,123229,5931,624,O031,20,0.16229945873130514,0.3372112628561794,3.2051282051282053
