care,territory,municipalities,with_admissions,at_least_1000,admissions_at_least_1000,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hypertension_municipal_mean,hemorrhage_per_1000,hemorrhage_municipal_mean,W_per_1000,W_municipal_mean,outside_percent,period,census_year
any_uf,CE,184,184,118,528429,570621,204,1566,37655,3139,44537,65.98950967454755,51.99913649181218,5.501024322623948,5.5475989858460455,78.05005423915348,62.815165322719196,0.2744378492905098,2021-2025,2022
any_uf,MA,217,217,120,436246,493083,261,9239,9779,2109,17344,19.832360880419728,20.71447527409689,4.277170374967298,4.069649871571588,35.17460549238161,32.12833598580699,1.8737210571039764,2021-2025,2022
any_uf,PB,223,223,46,168440,241999,92,3093,12922,1162,15464,53.39691486328456,47.941950248128634,4.801672734184852,3.1319088120006584,63.90109050037397,55.503195091828445,1.2781044549770866,2021-2025,2022
any_uf,PE,185,185,124,493775,533214,154,10932,26926,2454,35571,50.49754882654994,47.515624380763406,4.602279760096321,4.332941034426936,66.71055148589497,59.5544231890953,2.0502087342042783,2021-2025,2022
any_uf,PI,224,224,37,147315,215923,96,1028,12272,3758,17581,56.8350754667173,49.58696272155226,17.404352477503554,18.68867192102309,81.42254414768227,73.18052090573963,0.47609564520685616,2021-2025,2022
any_uf,RN,167,167,35,148175,205600,71,598,12157,1328,15275,59.12937743190661,47.8576586019872,6.4591439688715955,6.306140038763567,74.29474708171206,60.415413516076555,0.2908560311284047,2021-2025,2022
any_uf,SE,75,75,34,114761,134745,29,793,3276,2183,6932,24.31259044862518,23.51817448535381,16.20097220676092,11.927765244831045,51.44532264648039,43.4230544525665,0.5885190545103715,2021-2025,2022
same_uf,NE,1794,1794,746,2910232,3423655,1406,0,136016,22565,188176,39.72830206314597,35.888741211350464,6.590909422824438,7.125901528275841,54.96348200972353,49.09486425860286,0.0,2021-2025,2022
same_uf,AL,102,102,58,194482,221128,109,0,7382,1369,10567,33.38337976194783,33.08874682326649,6.190984407221157,5.97759757604747,47.78680221410224,46.128469298366966,0.0,2021-2025,2022
same_uf,BA,417,417,182,705082,834591,404,0,14528,5382,26317,17.407328859285567,15.8778374743497,6.448667670751302,6.612550662344242,31.532810682118548,27.953429967584924,0.0,2021-2025,2022
same_uf,CE,184,184,118,527498,569055,204,0,37597,3122,44452,66.06918487668152,51.99105979015218,5.486288671569532,5.558435606561238,78.11547214241155,62.76278709547003,0.0,2021-2025,2022
same_uf,MA,217,217,117,427836,483844,254,0,9179,1893,16459,18.970990649878885,19.20687051949799,3.912418052099437,3.42551340792173,34.017162556526486,31.03060937711414,0.0,2021-2025,2022
same_uf,PB,223,223,46,167464,238906,90,0,12839,1147,15339,53.740801821636964,48.57173561782371,4.801051459569873,3.047912664394592,64.20516856001942,55.90277984380616,0.0,2021-2025,2022
same_uf,PE,185,185,119,479002,522282,151,0,26859,2396,35354,51.42624099624341,48.30163800298384,4.58755997717708,4.325278651234142,67.69140043118469,60.3398801796179,0.0,2021-2025,2022
same_uf,PI,224,224,37,146919,214895,94,0,12238,3752,17531,56.94874240908351,49.67212623606584,17.459689615858906,18.83956139032532,81.57937597431304,73.40363255670079,0.0,2021-2025,2022
same_uf,RN,167,167,35,147855,205002,71,0,12130,1326,15245,59.17015443751768,47.83374840633519,6.4682295782480175,6.322854374139581,74.36512814509126,60.439538872834326,0.0,2021-2025,2022
same_uf,SE,75,75,34,114094,133952,29,0,3264,2178,6912,24.36693741041567,23.62604122937648,16.259555661729575,11.930542601249229,51.60057333970377,43.566571090060506,0.0,2021-2025,2022
