care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh,period,census_year
same_uf,1,RN,sewer_septic,hypertension,167,ok,0.02666288737414225,0.7323258381512243,-0.12570972127868643,0.17780652175399503,0.04441819164466841,0.5686915223602349,19,2000,20260919,2000,ok,-0.1386795546607733,0.20331827021443694,0.8342952586532936,0.6916518515192046,2020-2024,2022
same_uf,1,RN,sewer_septic,hemorrhage,167,ok,-0.14533872985484494,0.06092401059024374,-0.2907842332207122,0.006672129803473221,-0.1405517221452923,0.07003407663362456,19,2000,20260919,2000,ok,-0.3107403922708099,0.030509285030412593,0.14429370929268254,0.17035315937908677,2020-2024,2022
same_uf,1,RN,sewer_septic,W,167,ok,-0.015194799906530977,0.8454739804333813,-0.16667378864803728,0.13698489245696005,-0.015138866343610148,0.8460357439652749,19,2000,20260919,2000,ok,-0.1905292638777875,0.179623337227893,0.9058649790357657,0.8801589723496204,2020-2024,2022
same_uf,1,SE,income_pc,hypertension,75,ok,-0.05988741199332339,0.6097799186403333,-0.28300264070875875,0.16937662699182945,-0.1552204836415363,0.18360186817418872,13,2000,20260919,2000,ok,-0.26182174067369196,0.05242227930162034,0.7416242253733784,0.34425350282660383,2020-2024,2022
same_uf,1,SE,income_pc,hemorrhage,75,ok,0.27444841242111945,0.017180515317213544,0.05064095797146002,0.47200913072418915,0.06227596017069702,0.5955692959748052,13,2000,20260919,2000,ok,-0.28225932168186446,0.6344029105198331,0.057268384390711816,0.6961199563341879,2020-2024,2022
same_uf,1,SE,income_pc,W,75,ok,0.23162073907169323,0.04555606587071053,0.00491739686400162,0.43567932707718837,0.04142247510668563,0.7241967968208938,13,2000,20260919,2000,ok,-0.28190241524247966,0.5573494600312922,0.12424381601102871,0.7852736351069932,2020-2024,2022
same_uf,1,SE,illiteracy_15plus,hypertension,75,ok,-0.19589295194524742,0.09211395629214165,-0.4048548586876286,0.032514495036153265,-0.14042774131038904,0.22948796261368484,13,2000,20260919,2000,ok,-0.40845127269152987,0.06252497761804891,0.19279665270448254,0.396520343048637,2020-2024,2022
same_uf,1,SE,illiteracy_15plus,hemorrhage,75,ok,-0.6443702669204663,4.438719110486981e-10,-0.760160557727453,-0.4889103159342312,-0.48671754423382,9.52453584032281e-06,13,2000,20260919,2000,ok,-0.8187224544838434,-0.11912624431266217,1.9974235997191414e-08,0.0002857360752096843,2020-2024,2022
same_uf,1,SE,illiteracy_15plus,W,75,ok,-0.6393577321445931,6.66684616230973e-10,-0.7565384291503889,-0.4823963265459216,-0.5253949174735838,1.2996280299348708e-06,13,2000,20260919,2000,ok,-0.789500919045016,-0.22638033846228747,2.0000538486929188e-08,5.8483261347069185e-05,2020-2024,2022
same_uf,1,SE,sewer_septic,hypertension,75,ok,-0.009925569339668244,0.9326459703824941,-0.2363549716496904,0.21752630290598995,-0.018890469416785204,0.8722014363923377,13,2000,20260919,2000,ok,-0.2806696500709462,0.25192631063984533,0.9648061762577526,0.8920241963103454,2020-2024,2022
