territory,year,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000,outside_percent
NE,2014,736862,198,9433,18072,5766,28948,24.52562352245061,7.825074437275908,39.285510719781996,1.2801582928689497
NE,2015,758981,275,9691,19195,5425,29850,25.290488167687993,7.1477415113158305,39.32904776272397,1.276843557348603
NE,2016,721398,269,10655,19658,5420,31044,27.249867618152532,7.51318966783939,43.03311071003801,1.4769932824876144
NE,2017,747142,284,11488,22134,5763,33761,29.62489058304847,7.713393170240731,45.18685872297368,1.5375925861482824
NE,2018,777559,323,12651,24319,5588,35884,31.27608322969704,7.186592914492662,46.1495526384493,1.6270147988769983
NE,2019,768807,316,12468,25338,5731,37932,32.95755631777546,7.454406632613907,49.33878073430653,1.6217334129371872
NE,2020,716308,316,12155,23628,5479,34950,32.985810573105425,7.64894430887272,48.791860484596015,1.6968957487561216
NE,2021,728372,364,11357,25855,5372,37050,35.496971327837976,7.375352155217389,50.86686473395463,1.5592307227625444
NE,2022,694210,268,9878,28001,5086,38822,40.33505711528212,7.326313363391481,55.92255945607237,1.4229123752178736
NE,2023,693503,280,9889,28198,4348,38578,40.660242277250426,6.269619597896476,55.62773340562334,1.4259491307175312
NE,2024,675500,242,10145,26965,4436,37335,39.91857883049593,6.56698741672835,55.27017024426351,1.5018504811250926
NE,2025,682863,282,9524,29702,3848,40034,43.49627963442155,5.635098108991115,58.62669378777295,1.394716070427011
PB,2008,54981,15,1869,1037,644,1919,18.861061093832415,11.713137265600844,34.90296647932922,3.3993561412124187
PB,2009,56575,17,1677,947,1210,2436,16.738842244807778,21.38753866548829,43.057887759611134,2.964206805125939
PB,2010,53128,12,1631,1019,1523,2727,19.18009335943382,28.66661647342268,51.32886613461828,3.069944285499172
PB,2011,50402,14,1257,839,278,1275,16.64616483472878,5.515654140708702,25.296615213681996,2.4939486528312367
PB,2012,47429,11,798,839,189,1186,17.68959919036876,3.984903750869721,25.00579814037825,1.6825149170338822
PB,2013,46804,9,680,994,172,1347,21.23750106828476,3.6748995812323733,28.779591487907016,1.4528672763011707
PB,2014,48113,8,747,947,174,1327,19.682830004364725,3.6164861887639517,27.580903290171054,1.552594932762455
PB,2015,46754,20,671,887,226,1319,18.971638790263935,4.833811010822603,28.211489925995636,1.4351713222398084
PB,2016,45563,22,850,958,201,1359,21.025832363979546,4.4114742225051025,29.826833176041966,1.8655488005618595
PB,2017,49889,17,758,1188,193,1590,23.812864559321696,3.86858826595041,31.87075307181944,1.519373008077933
PB,2018,51450,20,839,1474,159,1822,28.649173955296405,3.0903790087463556,35.41302235179786,1.630709426627794
PB,2019,51972,20,971,1555,176,1988,29.91995689986916,3.386438851689371,38.25136612021858,1.8683137073808973
PB,2020,49163,20,857,1467,254,2054,29.83951345524073,5.166486992250269,41.77938693733092,1.7431808473852288
PB,2021,48863,27,874,1678,220,2235,34.34091234676545,4.502384217096781,45.740130569142295,1.7886744571557212
PB,2022,47232,11,615,2355,258,2821,49.860264227642276,5.462398373983739,59.72645663956639,1.3020833333333333
PB,2023,47945,10,574,2965,222,3435,61.841693607258314,4.6303055584523936,71.64459276254041,1.1972051308791323
PB,2024,49012,15,513,2943,251,3417,60.04651921978291,5.121194809434424,69.7176201746511,1.046682445115482
PB,2025,48947,29,517,2981,211,3556,60.902608944368396,4.3107851349418755,72.65000919361759,1.0562445093672748
PE,2008,129115,781,2869,1282,334,2605,9.929132943499981,2.5868411880881386,20.175812260388025,2.222050110366727
PE,2009,131212,756,1593,1350,269,2568,10.288693107337744,2.050117367313965,19.57138066640246,1.2140657866658537
