territory,region_code,region,year,n_months,months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent,value,indicator
5,5.0,Centro-Oeste,2007,12,"1,2,3,4,5,6,7,8,9,10,11,12",182259.0,38.0,50537.0,471.0,182259.0,6113.0,6315.0,284.0,161.0,6113.0,1876.0,2113.0,23.0,15.0,1876.0,4194.0,4560.0,70.0,89.0,4194.0,6185.0,33.540181829155216,5.6196450125650514,34.64849472454035,33.547176231060085,35.51097504944506,10.293044513576833,0.45511209608801473,11.593391821528703,10.295191004329908,10.562935974634014,23.011209322996397,1.3851237707026536,25.019340608694222,23.01600803420023,24.310421674847245,27.728123165385522,47.15719063545151,pnad_sewer
5,5.0,Centro-Oeste,2008,12,"1,2,3,4,5,6,7,8,9,10,11,12",178360.0,55.0,58325.0,481.0,178360.0,7261.0,7432.0,1048.0,174.0,7261.0,1854.0,1872.0,21.0,9.0,1854.0,5807.0,5884.0,455.0,88.0,5807.0,8324.0,40.70980040367795,17.968281183026146,41.66853554608657,40.7223577577746,42.31532460830495,10.394707333482843,0.3600514359194171,10.495626822157435,10.397913687221335,10.642346391006338,32.557748374074905,7.801114444920703,32.98945952007176,32.56779114438743,33.78845588843214,32.70071764969724,48.178421298458666,pnad_sewer
5,5.0,Centro-Oeste,2009,12,"1,2,3,4,5,6,7,8,9,10,11,12",178307.0,60.0,59803.0,508.0,178307.0,7034.0,7101.0,679.0,159.0,7034.0,1880.0,1886.0,8.0,16.0,1880.0,4972.0,5004.0,249.0,90.0,4972.0,7389.0,39.448815806446184,11.353945454241426,39.82457222655308,39.462094733712206,40.87055104143314,10.5436129821039,0.13377255321639384,10.577262810770188,10.547162084074346,10.789961801521072,27.884491354798186,4.163670718860258,28.06395710768506,27.893877596817898,28.84357844919207,33.53934506216806,46.12579762989973,pnad_sewer
5,5.0,Centro-Oeste,2011,12,"1,2,3,4,5,6,7,8,9,10,11,12",172866.0,43.0,55169.0,466.0,172866.0,5558.0,5598.0,592.0,117.0,5558.0,1376.0,1391.0,12.0,21.0,1376.0,3775.0,3807.0,185.0,83.0,3775.0,5789.0,32.152071546747194,10.730663959832514,32.38346464891882,32.16007128680789,32.97314679735851,7.9599227147038745,0.21751345864525368,8.046695128018234,7.961903218900262,8.072025086727473,21.83772401744704,3.353332487447661,22.02283849918434,21.843157450107913,22.355581300635777,31.91431513426585,59.8557182261829,pnad_sewer
5,5.0,Centro-Oeste,2012,12,"1,2,3,4,5,6,7,8,9,10,11,12",170802.0,40.0,51658.0,485.0,170802.0,4809.0,4861.0,566.0,123.0,4809.0,1370.0,1380.0,11.0,11.0,1370.0,3020.0,3061.0,145.0,80.0,3020.0,4946.0,28.155408016299575,10.956676603817414,28.459854100069087,28.16200325599372,28.748855041348715,8.020983360850575,0.21293894459715823,8.079530684652404,8.022862229301602,8.131467276386143,17.681291788152365,2.8069224515079947,17.921335815739862,17.68543352736557,17.992096329182807,30.244376529548834,60.17316017316017,pnad_sewer
5,5.0,Centro-Oeste,2013,12,"1,2,3,4,5,6,7,8,9,10,11,12",179615.0,44.0,38180.0,602.0,179615.0,5411.0,5486.0,562.0,242.0,5411.0,1672.0,1687.0,6.0,16.0,1672.0,3422.0,3461.0,170.0,104.0,3422.0,5723.0,30.125546307379672,14.719748559455212,30.543106088021602,30.13292792266012,30.550450737239824,9.30879937644406,0.1571503404924044,9.392311332572447,9.311080296929905,9.383797442628294,19.051860924755726,4.452592980618125,19.26899201068953,19.056529172305105,19.277914826517513,21.25657656654511,59.06631937487477,pnad_sewer
5,5.0,Centro-Oeste,2014,12,"1,2,3,4,5,6,7,8,9,10,11,12",181021.0,90.0,29015.0,622.0,181021.0,4977.0,5065.0,337.0,164.0,4977.0,1560.0,1568.0,9.0,19.0,1560.0,3028.0,3058.0,101.0,81.0,3028.0,5302.0,27.494047651929886,11.614682061002929,27.980179095243095,27.507723938960154,27.879354128121374,8.617784676915939,0.3101843873858349,8.661978444489867,8.622071397383532,8.695025718648292,16.727341026731704,3.480958125107703,16.893067655133933,16.735661661075216,16.91999783856714,16.02852707696897,60.02337814143775,pnad_sewer
5,5.0,Centro-Oeste,2015,12,"1,2,3,4,5,6,7,8,9,10,11,12",187233.0,97.0,30428.0,602.0,187233.0,5657.0,6075.0,557.0,169.0,5657.0,1720.0,1868.0,16.0,14.0,1720.0,3329.0,3513.0,131.0,87.0,3329.0,5954.0,30.213690962597404,18.305508084658868,32.44620339363253,30.22935191518468,30.469603022174205,9.186414787991433,0.5258314710135401,9.976873734865114,9.191176470588236,9.273614258564063,17.779985365827606,4.30524516892336,18.76271811058948,17.78920143638851,17.928774132180983,16.251408672616474,71.16011505273251,pnad_sewer
1,1.0,Norte,2016,12,"1,2,3,4,5,6,7,8,9,10,11,12",281056.0,185.0,30183.0,317.0,281056.0,11534.0,11699.0,433.0,103.0,11534.0,2776.0,2825.0,4.0,22.0,2776.0,7751.0,7825.0,98.0,71.0,7751.0,11988.0,41.038084936809746,14.3458238081039,41.62515655243083,41.06511530204258,42.19750267262426,9.877035181600819,0.1325249312526919,10.051377661391324,9.883540842593218,9.88766021389293,27.57813389502448,3.246860815690952,27.841426619606057,27.596298656678687,28.208589396198942,10.739140954115905,24.28619415518979,pnadc_education
1,1.0,Norte,2017,12,"1,2,3,4,5,6,7,8,9,10,11,12",292186.0,131.0,36417.0,420.0,292186.0,12748.0,12871.0,720.0,149.0,12748.0,2994.0,3029.0,14.0,28.0,2994.0,7988.0,8048.0,167.0,114.0,7988.0,13362.0,43.629742698144334,19.770986077930637,44.0507074260916,43.64931262947048,44.343215153876805,10.246897524179804,0.3844358404042068,10.36668423538431,10.25149372549691,10.225604972088847,27.338749974331417,4.585770381964467,27.544098622110575,27.35101265172656,27.689684083706045,12.463636176955776,21.90693629049793,pnadc_education
1,1.0,Norte,2018,12,"1,2,3,4,5,6,7,8,9,10,11,12",298679.0,146.0,36265.0,622.0,298679.0,13425.0,13522.0,630.0,222.0,13425.0,3270.0,3305.0,15.0,42.0,3270.0,8014.0,8089.0,152.0,148.0,8014.0,13765.0,44.94792067738274,17.37212188060113,45.272684052109454,44.96990282481334,45.54992766849102,10.94820861192116,0.41362194953812215,11.065391272905025,10.953562922691964,10.913353295460004,26.831481289277118,4.191369088652971,27.0825869913854,26.844603444175352,27.071922440485064,12.141797715942534,20.751154007553502,pnadc_education
