icd10,description,waterstone_groups,waterstone_source,mantel_groups,mantel_source,who_groups,who_source,note
O04.6,"Medical abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O04.7,"Medical abortion: Complete or unspecified, complicated by embolism",,,M3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O05.0,"Other abortion: Incomplete, complicated by genital tract and pelvic infection",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O05.1,"Other abortion: Incomplete, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O05.2,"Other abortion: Incomplete, complicated by embolism",,,M3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O05.5,"Other abortion: Complete or unspecified, complicated by genital tract and pelvic infection",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O05.6,"Other abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O05.7,"Other abortion: Complete or unspecified, complicated by embolism",,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O06.0,"Unspecified abortion: Incomplete, complicated by genital tract and pelvic infection",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O06.1,"Unspecified abortion: Incomplete, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O06.2,"Unspecified abortion: Incomplete, complicated by embolism",,,M3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O06.5,"Unspecified abortion: Complete or unspecified, complicated by genital tract and pelvic infection",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O06.6,"Unspecified abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O06.7,"Unspecified abortion: Complete or unspecified, complicated by embolism",,,M3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O07.0,"Failed medical abortion, complicated by genital tract and pelvic infection",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O07.1,"Failed medical abortion, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O07.2,"Failed medical abortion, complicated by embolism",,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O07.5,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O07.6,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O07.7,"Other and unspecified failed attempted abortion, complicated by embolism",,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O08.0,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O08.1,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O08.2,Embolism following abortion and ectopic and molar pregnancy,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O08.3,Shock following abortion and ectopic and molar pregnancy,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O08.4,Renal failure following abortion and ectopic and molar pregnancy,,,M4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O3,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O08.5,Metabolic disorders following abortion and ectopic and molar pregnancy,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O11,Pre-existing hypertensive disorder with superimposed proteinuria,W1,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,, Exact three-character code; subcategories are not automatically included.
O14.0,Moderate pre-eclampsia,W1,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
O14.1,Severe pre-eclampsia,W1,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
O14.9,"Pre-eclampsia, unspecified",W1,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
O15,Eclampsia,W2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O15.0,Eclampsia in pregnancy,W2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O15.1,Eclampsia in labour,W2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O15.2,Eclampsia in the puerperium,W2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O15.9,"Eclampsia, unspecified as to time period",W2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O22.5,Cerebral venous thrombosis in pregnancy,,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O26.6,"Liver disorders in pregnancy, childbirth and the puerperium",,,M5,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O5,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29,Complications of anaesthesia during pregnancy,,,,,O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O29.0,Pulmonary complications of anaesthesia during pregnancy,,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.1,Cardiac complications of anaesthesia during pregnancy,,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.2,Central nervous system complications of anaesthesia during pregnancy,,,,,O6,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.3,Toxic reaction to local anaesthesia during pregnancy,,,,,O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.5,Other complications of spinal and epidural anaesthesia during pregnancy,,,,,O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.6,Failed or difficult intubation during pregnancy,,,,,O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.8,Other complications of anaesthesia during pregnancy,,,,,O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O29.9,"Complication of anaesthesia during pregnancy, unspecified",,,,,O1; O2,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O41.1,Infection of amniotic sac and membranes,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O44.1,Placenta praevia with haemorrhage,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O45,Premature separation of placenta [abruptio placentae],,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O45.0,Premature separation of placenta with coagulation defect,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O45.8,Other premature separation of placenta,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O45.9,"Premature separation of placenta, unspecified",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O46,"Antepartum haemorrhage, not elsewhere classified",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O46.0,Antepartum haemorrhage with coagulation defect,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O46.8,Other antepartum haemorrhage,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O46.9,"Antepartum haemorrhage, unspecified",W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",,,,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
O67.0,Intrapartum haemorrhage with coagulation defect,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
O67.8,Other intrapartum haemorrhage,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
