municipality,name,income_pc,illiteracy_10plus,sewer_septic,admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000
240280,Coronel Ezequiel - RN,236.21,27.099999999999994,20.21614748887476,345,4,0,5,11.594202898550725,0.0,14.492753623188406
240290,Coronel João Pessoa - RN,242.47,30.40000000000001,0.3142183817753338,267,9,1,11,33.70786516853933,3.745318352059925,41.19850187265918
240300,Cruzeta - RN,338.17,20.40000000000001,66.19028174765211,470,9,18,28,19.148936170212767,38.297872340425535,59.57446808510638
240310,Currais Novos - RN,517.61,16.400000000000006,83.42426187419768,2656,128,2,135,48.19277108433735,0.7530120481927711,50.82831325301205
240320,Doutor Severiano - RN,269.35,22.40000000000001,25.40937323546019,501,14,0,15,27.944111776447105,0.0,29.940119760479043
240325,Parnamirim - RN,833.82,7.599999999999994,57.58258880472078,13314,92,5,201,6.910019528316059,0.3755445395823945,15.096890491212259
240330,Encanto - RN,307.9,21.90000000000001,16.070222822417286,382,15,2,17,39.26701570680628,5.2356020942408374,44.50261780104712
240340,Equador - RN,287.83,20.5,50.43427909669948,348,13,1,15,37.35632183908046,2.8735632183908044,43.10344827586207
240350,Espírito Santo - RN,233.05,35.7,19.89830508474576,738,14,4,22,18.97018970189702,5.420054200542006,29.81029810298103
240360,Extremoz - RN,413.22,16.299999999999997,37.8058162794276,1949,137,6,159,70.29245767060031,3.078501795792714,81.58029758850692
240370,Felipe Guerra - RN,293.23,20.0,4.910179640718563,325,1,0,3,3.076923076923077,0.0,9.23076923076923
240375,Fernando Pedroza - RN,266.24,28.200000000000003,7.042253521126761,240,10,0,13,41.666666666666664,0.0,54.166666666666664
240380,Florânia - RN,356.23,21.700000000000003,73.50863422291994,669,20,2,28,29.895366218236173,2.9895366218236172,41.85351270553064
240390,Francisco Dantas - RN,296.86,27.40000000000001,1.0778443113772456,197,3,1,6,15.228426395939087,5.0761421319796955,30.456852791878173
240400,Frutuoso Gomes - RN,264.57,23.90000000000001,1.6216216216216215,324,7,2,10,21.604938271604937,6.172839506172839,30.864197530864196
240410,Galinhos - RN,287.83,24.700000000000003,0.8960573476702509,132,5,1,6,37.878787878787875,7.575757575757576,45.45454545454545
240420,Goianinha - RN,357.39,21.700000000000003,43.24517512508935,2137,69,11,89,32.288254562470755,5.147402901263454,41.647168928404305
240430,Governador Dix-Sept Rosado - RN,263.5,22.700000000000003,31.57894736842105,935,13,4,20,13.903743315508022,4.278074866310161,21.390374331550802
240440,Grossos - RN,398.69,24.3,17.67425320056899,589,10,5,16,16.97792869269949,8.488964346349745,27.164685908319186
240450,Guamaré - RN,395.06,21.40000000000001,37.308501051366775,989,41,7,52,41.45601617795753,7.077856420626896,52.578361981799794
240460,Ielmo Marinho - RN,202.4,25.8,18.96088384592416,573,34,6,41,59.33682373472949,10.471204188481675,71.55322862129145
240470,Ipanguaçu - RN,271.68,26.0,18.43220338983051,1234,21,5,32,17.01782820097245,4.051863857374392,25.93192868719611
240480,Ipueira - RN,393.6,22.5,1.875,96,1,1,2,10.416666666666666,10.416666666666666,20.833333333333332
240485,Itajá - RN,304.68,24.3,15.576820839978735,644,5,1,6,7.763975155279503,1.5527950310559007,9.316770186335404
240490,Itaú - RN,306.42,20.3,3.289473684210526,332,7,1,10,21.08433734939759,3.0120481927710845,30.120481927710845
240500,Jaçanã - RN,257.66,25.099999999999994,0.733074601121173,498,10,1,11,20.080321285140563,2.0080321285140563,22.08835341365462
240510,Jandaíra - RN,234.81,30.0,14.870689655172416,423,15,6,22,35.46099290780142,14.184397163120567,52.009456264775416
240520,Janduís - RN,266.39,25.5,41.766268260292165,417,9,4,16,21.58273381294964,9.59232613908873,38.36930455635492
240530,Januário Cicco - RN,189.99,32.599999999999994,12.016293279022404,565,29,3,36,51.32743362831859,5.3097345132743365,63.716814159292035
240540,Japi - RN,211.63,32.7,52.97805642633229,524,6,2,10,11.450381679389313,3.816793893129771,19.083969465648856
240550,Jardim de Angicos - RN,254.03,26.700000000000003,9.04109589041096,150,7,3,10,46.666666666666664,20.0,66.66666666666667
240560,Jardim de Piranhas - RN,298.1,23.5,21.13041223749028,857,11,4,17,12.835472578763127,4.667444574095683,19.83663943990665
240570,Jardim do Seridó - RN,445.31,17.099999999999994,73.74185136897002,426,4,8,12,9.389671361502348,18.779342723004696,28.169014084507044
240580,João Câmara - RN,333.49,25.0,17.54180797567536,2469,74,9,89,29.971648440664236,3.6452004860267313,36.04698258404212
240590,João Dias - RN,169.91,36.6,37.63297872340426,185,2,0,2,10.81081081081081,0.0,10.81081081081081
