territory,region_code,region,year,n_months,months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent
RO,,RO,2017,12,"1,2,3,4,5,6,7,8,9,10,11,12",25909.0,6.0,1586.0,37.0,25909.0,792.0,797.0,11.0,4.0,792.0,133.0,135.0,0.0,1.0,133.0,367.0,370.0,1.0,5.0,367.0,814.0,30.568528310625652,6.935687263556116,30.761511443899803,30.575609002818208,30.926307174852752,5.133351345092439,0.0,5.2105445984021,5.134540400725784,5.20312719313035,14.164961982322746,0.6305170239596469,14.280751862287236,14.168243060649345,14.3000393340241,6.121424987456097
RO,,RO,2018,12,"1,2,3,4,5,6,7,8,9,10,11,12",27533.0,9.0,1542.0,29.0,27533.0,730.0,734.0,13.0,8.0,730.0,165.0,168.0,1.0,1.0,165.0,378.0,382.0,5.0,7.0,378.0,746.0,26.513638179638978,8.430609597924773,26.65891838884248,26.52230780409824,26.763811522856887,5.9928086296444265,0.648508430609598,6.101768786547052,5.994768202296178,6.06459302072946,13.728979769730868,3.2425421530479897,13.87425997893437,13.733468972533062,13.902046497433595,5.600552064794973
RO,,RO,2019,12,"1,2,3,4,5,6,7,8,9,10,11,12",27142.0,9.0,718.0,39.0,27142.0,748.0,748.0,2.0,12.0,748.0,142.0,142.0,0.0,0.0,142.0,331.0,332.0,0.0,10.0,331.0,767.0,27.55876501363201,2.785515320334262,27.55876501363201,27.567906239634393,27.721082083353778,5.231744160341906,0.0,5.231744160341906,5.233479526775513,5.334093573056854,12.195121951219512,0.0,12.231965219954315,12.199167065934471,12.37923110106259,2.6453466951587945
RO,,RO,2020,12,"1,2,3,4,5,6,7,8,9,10,11,12",24846.0,7.0,903.0,33.0,24846.0,571.0,571.0,4.0,7.0,571.0,127.0,127.0,0.0,0.0,127.0,323.0,323.0,1.0,6.0,323.0,585.0,22.98156644932786,4.4296788482834994,22.98156644932786,22.988042996900035,22.99749839946223,5.111486758431941,0.0,5.111486758431941,5.1129272514996575,5.200123522053967,13.000080495854464,1.1074197120708749,13.000080495854464,13.003744112081806,13.0677684739324,3.6343878290268052
RO,,RO,2021,12,"1,2,3,4,5,6,7,8,9,10,11,12",23897.0,7.0,938.0,17.0,23897.0,387.0,391.0,2.0,5.0,387.0,80.0,80.0,0.0,2.0,80.0,240.0,242.0,0.0,7.0,240.0,406.0,16.194501401849603,2.1321961620469083,16.361886429258902,16.19924654667225,16.103791144943905,3.3477005481859647,0.0,3.3477005481859647,3.3486814566764336,3.30260837805649,10.043101644557895,0.0,10.126794158262543,10.046044370029302,10.024412892885154,3.9251788927480438
RO,,RO,2022,12,"1,2,3,4,5,6,7,8,9,10,11,12",23648.0,7.0,1033.0,23.0,23648.0,529.0,532.0,3.0,5.0,529.0,92.0,92.0,0.0,1.0,92.0,311.0,313.0,2.0,5.0,311.0,558.0,22.369756427604873,2.904162633107454,22.49661705006766,22.376380017765747,22.471763980740498,3.8903924221921518,0.0,3.8903924221921518,3.891544350915782,3.9706714600009776,13.151217861975642,1.936108422071636,13.235791610284167,13.155111881900089,13.284193304555123,4.368234100135318
RO,,RO,2023,12,"1,2,3,4,5,6,7,8,9,10,11,12",24731.0,5.0,1216.0,32.0,24731.0,486.0,491.0,5.0,8.0,486.0,114.0,115.0,1.0,0.0,114.0,293.0,297.0,4.0,3.0,293.0,522.0,19.65144959767094,4.1118421052631575,19.853625005054386,19.6554234409124,19.237254193363526,4.609599288342566,0.8223684210526315,4.650034369819255,4.61053142441155,4.62025236027914,11.847478872669928,3.289473684210526,12.009219198576686,11.849874625899863,11.677796916551815,4.916905907565404
RO,,RO,2024,12,"1,2,3,4,5,6,7,8,9,10,11,12",23776.0,2.0,1827.0,45.0,23776.0,468.0,476.0,6.0,13.0,468.0,116.0,118.0,3.0,2.0,116.0,302.0,309.0,7.0,8.0,302.0,510.0,19.68371467025572,3.284072249589491,20.020188425302827,19.685370572894758,19.24303707606488,4.878869448183042,1.6420361247947455,4.962987886944818,4.879279885589299,4.848937524532813,12.701884253028263,3.8314176245210727,12.996298788694482,12.702952805585934,12.579439551553056,7.68421938088829
RO,,RO,2025,12,"1,2,3,4,5,6,7,8,9,10,11,12",25468.0,5.0,934.0,28.0,25468.0,605.0,630.0,4.0,12.0,605.0,166.0,169.0,1.0,1.0,166.0,384.0,396.0,3.0,11.0,384.0,634.0,23.755300769593216,4.282655246252677,24.736924768336735,23.75996544005027,23.21850440156586,6.517983351656981,1.0706638115631693,6.635778231506204,6.519263244708008,6.518016311040291,15.077744620700487,3.2119914346895073,15.548924140097377,15.080705337155873,15.024764832866067,3.6673472593057954
RR,,RR,2002,12,"1,2,3,4,5,6,7,8,9,10,11,12",4775.0,0.0,0.0,0.0,4775.0,109.0,109.0,0.0,0.0,109.0,59.0,59.0,0.0,0.0,59.0,67.0,67.0,0.0,0.0,67.0,109.0,22.827225130890053,,22.827225130890053,22.827225130890053,23.348536910701366,12.356020942408376,,12.356020942408376,12.356020942408376,12.356383571902903,14.031413612565444,,14.031413612565444,14.031413612565444,13.991093605535362,0.0
RR,,RR,2003,12,"1,2,3,4,5,6,7,8,9,10,11,12",4561.0,2.0,0.0,4.0,4561.0,127.0,127.0,0.0,0.0,127.0,40.0,40.0,0.0,0.0,40.0,47.0,47.0,0.0,0.0,47.0,127.0,27.844770883578164,,27.844770883578164,27.856986181180083,27.363402840770558,8.770006577504933,,8.770006577504933,8.77385391533231,8.06578885182055,10.304757728568296,,10.304757728568296,10.309278350515465,9.698580588117634,0.0
RR,,RR,2004,12,"1,2,3,4,5,6,7,8,9,10,11,12",6785.0,1.0,31.0,27.0,6785.0,207.0,207.0,7.0,2.0,207.0,62.0,62.0,0.0,1.0,62.0,76.0,77.0,0.0,1.0,76.0,207.0,30.508474576271187,225.80645161290323,30.508474576271187,30.51297169811321,31.83920594265503,9.137803979366248,0.0,9.137803979366248,9.139150943396226,9.188993397108883,11.201179071481208,0.0,11.348563006632277,11.202830188679245,11.784815406068942,0.45689019896831246
RR,,RR,2005,12,"1,2,3,4,5,6,7,8,9,10,11,12",7884.0,3.0,0.0,21.0,7884.0,80.0,81.0,0.0,1.0,80.0,62.0,62.0,0.0,1.0,62.0,72.0,72.0,0.0,1.0,72.0,80.0,10.147133434804667,,10.273972602739725,10.150996066489025,11.031084780051197,7.864028411973617,,7.864028411973617,7.867021951528994,7.8302970322331324,9.132420091324201,,9.132420091324201,9.135896459840122,9.674146527175738,0.0
RR,,RR,2006,12,"1,2,3,4,5,6,7,8,9,10,11,12",8773.0,1.0,0.0,13.0,8773.0,102.0,102.0,0.0,1.0,102.0,85.0,85.0,0.0,0.0,85.0,95.0,95.0,0.0,1.0,95.0,102.0,11.62658155705004,,11.62658155705004,11.627906976744185,11.41393504916965,9.688817964208367,,9.688817964208367,9.689922480620154,9.195391740417612,10.828678901174056,,10.828678901174056,10.829913360693114,10.529471368380891,0.0
RR,,RR,2007,12,"1,2,3,4,5,6,7,8,9,10,11,12",7452.0,1.0,0.0,2.0,7452.0,96.0,98.0,0.0,0.0,96.0,69.0,70.0,0.0,0.0,69.0,84.0,86.0,0.0,0.0,84.0,97.0,12.882447665056361,,13.150831991411701,12.88417662058784,13.173057509304233,9.25925925925926,,9.39345142243693,9.26050194604751,9.462768494123708,11.272141706924316,,11.540526033279656,11.273654543014361,11.557315694344082,0.0
RR,,RR,2008,12,"1,2,3,4,5,6,7,8,9,10,11,12",8607.0,1.0,337.0,2.0,8607.0,138.0,140.0,0.0,1.0,138.0,121.0,122.0,0.0,1.0,121.0,126.0,127.0,0.0,1.0,126.0,138.0,16.03346113628442,0.0,16.265830138259556,16.03532419242389,15.772870103453483,14.058324619495759,0.0,14.174509120483327,14.059958168719499,13.654379573906398,14.6392471244336,0.0,14.755431625421169,14.640948175691378,14.228479660527885,3.91541768328105
RR,,RR,2009,12,"1,2,3,4,5,6,7,8,9,10,11,12",10216.0,2.0,1704.0,2.0,10216.0,355.0,359.0,1.0,0.0,355.0,276.0,276.0,0.0,0.0,276.0,298.0,299.0,0.0,0.0,298.0,356.0,34.74941268598277,0.5868544600938967,35.14095536413469,34.75621695711768,34.958479099582746,27.016444792482382,0.0,27.016444792482382,27.021734873702762,26.557144689877568,29.169929522317933,0.0,29.267815191855913,29.17564127667907,28.748009269853473,16.67971808927173
RR,,RR,2010,12,"1,2,3,4,5,6,7,8,9,10,11,12",9056.0,5.0,2199.0,0.0,9056.0,442.0,458.0,29.0,0.0,442.0,239.0,240.0,0.0,0.0,239.0,288.0,290.0,0.0,0.0,288.0,445.0,48.80742049469965,13.18781264211005,50.57420494699647,48.83438294111148,50.00160405562747,26.391342756183747,0.0,26.501766784452297,26.40592199756933,26.42707349838734,31.802120141342755,0.0,32.022968197879855,31.819688432217436,31.865433708452446,24.282243816254418
RR,,RR,2011,12,"1,2,3,4,5,6,7,8,9,10,11,12",8374.0,1.0,2627.0,0.0,8374.0,845.0,871.0,42.0,0.0,845.0,242.0,243.0,0.0,0.0,242.0,720.0,727.0,10.0,0.0,720.0,847.0,100.90757105326009,15.987818804720213,104.0124193933604,100.91962259644095,103.24009791989383,28.89897301170289,0.0,29.0183902555529,28.902424459572437,28.649712863444048,85.9804155720086,3.806623524933384,86.81633627895869,85.99068434252956,87.9176450893702,31.370909959398137
